"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Antibacterial, Antiviral, Antigen presentation","Activate","362: Exposure to unmethylated DNA activates NF<U+03BA>B and mitogen-activated protein kinase (MAPK) signaling pathways (see Figs. 7.19–7.21), leading to the production of pro-inflammatory cytokines such as IL-6, IL-12, IL-18, and interferon (IFN)-a and IFN-ß by dendritic cells. In turn, these cytokines act on the dendritic cells themselves to augment the expression of co-stimulatory molecules.","IL18 (Activate) pDC","false","Activate","IL18 (Activate) pDC","",""
"","Polarize","812: Table Appendix III","IL18 (Polarize) T_CD4","false","Polarize","IL18 (Polarize) T_CD4","","IL1Rp"
"Licensing, Antibacterial, Antiviral","Activate","471: Naive CD8 T cells can also undergo ‘bystander’ activation by IL-12 and IL-18 to produce IFN-<U+03B3> very early during infection (see Fig. 11.21).; 470: Cytokines IL-12 and IL-18 made by dendritic cells can induce bystander CD8 T cells to produce IFN-g  And Figure 11.21; 470: Right panels: activated dendritic cells also produce the cytokines IL-12 and IL-18, whose combined effect on CD8 T cells rapidly induces the production of IFN-<U+03B3> (upper right panel). This activates macrophages for the destruction of intracellular bacteria and can promote antiviral responses in other cells (lower right panel).","IL18 (Activate) T_CD8","false","Activate","IL18 (Activate) T_CD8","",""
"","Activate","467: Thus, for both TH1 cells and ILC1 cells, stimulation by IL-12 (STAT4) plus IL-18 induces production of IFN-<U+03B3>.; 468: Figure 11.19","IL18 (Activate) Th1","false","Activate","IL18 (Activate) Th1","",""
"Inflammation","Activate","111: Figure 3.27  Activates vascular endothelium Activates lymphocytes Local tissue destruction Increases access of effector cells","IL1b (Activate) Endothelial","false","Activate","IL1b (Activate) Endothelial","",""
"Fever, Hematopoiesis","Polarize","120: IL-1ß, IL-6, and TnF-a activate hepatocytes to synthesize acute-phase proteins, and bone marrow endothelium to release neutrophils.","IL1b (Polarize) Hematopoietic","false","Polarize","IL1b (Polarize) Hematopoietic","",""
"Fever","Activate","120: The effects of TNF-a, IL-1ß, and IL-6 are summarized in Fig. 3.33. One of the most important of these occurs in the liver and is the initiation of a response known as the acute-phase response (Fig. 3.34). The cytokines act on hepatocytes, which respond by changing the profile of proteins that they synthesize and secrete into the blood. In the acute-phase response, blood levels of some proteins go down, whereas levels of others increase markedly. The proteins induced by TNF-a, IL-1ß, and IL-6 are called the acute-phase proteins.; 120: IL-1ß, IL-6, and TnF-a activate hepatocytes to synthesize acute-phase proteins, and bone marrow endothelium to release neutrophils.","IL1b (Activate) Hepatocyte","false","Activate","IL1b (Activate) Hepatocyte","",""
"Type 3, Anti-EC bacteria, Antifungal","Activate","452: ILC3s play a critical early role in defense against extracellular bacteria and fungi at barrier tissues. Similarly toTH17 cells, ILC3s are responsive to IL-23 and IL-1ß; these cytokines elicit the production of IL-17 and IL-22, which promote early type 3 responses.; 125: ILC3s respond to the cytokines IL-1ß and IL-23 and produce several cytokines, including IL-17 and IL-22, which increase defenses against extracellular bacteria and fungi.","IL1b (Activate) ILC3","false","Activate","IL1b (Activate) ILC3","",""
"","Activate","811: Table Appendix III","IL1b (Activate) Macrophage","false","Activate","IL1b (Activate) Macrophage","","CD121a, CD121b"
"Type 3, Anti-EC bacteria, Antifungal, Antibacterial","Activate","452: ILC3s play a critical early role in defense against extracellular bacteria and fungi at barrier tissues. Similarly toTH17 cells, ILC3s are responsive to IL-23 and IL-1ß; these cytokines elicit the production of IL-17 and IL-22, which promote early type 3 responses.; 448: Figure 11.3; 124: Table Figure 3.37; 125: ILC3s respond to the cytokines IL-1ß and IL-23 and produce several cytokines, including IL-17 and IL-22, which increase defenses against extracellular bacteria and fungi.; 467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.; 510: In response to IL-23 secreted by local dendritic cells, ILC3s produce IL-22, which stimulates the epithelium to generate antimicrobial peptides that promote local defense against bacterial and fungal pathogens in the intestine.; 503: In mice, the most abundant subset of dendritic cells in the Peyer’s patch expresses CD11b (aM integrin) and, when activated, tends to produce IL-23. This promotes development of TH17 cells and stimulates ILC3 cells, both of which produce IL-17 and IL-22 (see Sections 3-23 and 11-2).","IL23 (Activate) ILC3","false","Activate","IL23 (Activate) ILC3","",""
"Anti-EC bacteria, Antifungal","Activate","124: Table Figure 3.37","IL23 (Activate) LTi","false","Activate","IL23 (Activate) LTi","",""
"Microbiome tuning of immune response, Type 3, Antimicrobial, Anti-EC bacteria, Antifungal","Polarize","368: Figure 9.22; 524: Figure 12.23; 457: Figure 11.9; 524: IL-23 is important in this process, promoting differentiation of TH17 effector cells.; 465: As discussed in Chapter 9, the development of TH17 cells is induced by the combined actions of TGF-ß and the pro-inflammatory cytokines IL-6, IL-1, and IL-23 (see Fig. 9.31).","IL23 (Polarize) T_CD4","false","Polarize","IL23 (Polarize) T_CD4","",""
"","Activate","812: Table Appendix III","IL23 (Activate) T_CD4_memory","false","Activate","IL23 (Activate) T_CD4_memory","","IL12Rb1+IL23R"
"Antimicrobial, Inflammation","Activate","524: IL-23 and IL-12 in concert can also induce inflammatory TH1 responses in the intestine, with some CD4 effector T cells found to produce both IFN-<U+03B3> and IL-17 under these circumstances.","IL23 (Activate) Th1","false","Activate","IL23 (Activate) Th1","",""
"Type 3","Activate","375: IL-6 produced by dendritic cells acts with transforming growth factor-ß (TGF-ß) to induce differentiation of TH17 cells, which upregulate expression of the IL-23 receptor and become responsive to IL-23.; 376: Developing TH17 cells express the receptor for the cytokine IL-23, rather than the IL-12 receptor typical of TH1 cells, and the expansion and further development of TH17 effector activity seem to require IL-23, similar to the requirement for IL-12 in effective TH1 responses (see Figs. 9.31 and 9.32).; 466: Figure 11.17; 466: These initial conditions are not, however, sufficient to generate complete or effective TH17 or TH1 responses. In addition, each T-cell subset also requires stimulation by another cytokine: IL-23 in the case of TH17 cells, and IL-12 in the case of TH17 cells.; 467: IL-23 and IL-12 amplify the activities of TH17 and TH1 cells, respectively.; 467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.; 468: Figure 11.19","IL23 (Activate) Th17","false","Activate","IL23 (Activate) Th17","",""
"","Polarize","468: Moreover, repetitive restimulation of TH17 cells with the TH17 lineage cytokine IL-23 could lead to a subset of progeny that also acquired features of TH1 cells.","IL23 (Polarize) Th17","false","Polarize","IL23 (Polarize) Th17","",""
"","Survive","467: IL-23 does not initiate the commitment of naive CD4 T cells to become TH17 cells, but it does stimulate their expansion and contributes to their maintenance.","IL23 (Survive) Th17","false","Survive","IL23 (Survive) Th17","",""
"Immunosuppression","Inhibit","611: Other immunoregulatory molecules that might serve as immunotherapeutic agents for treatment of asthma include the cytokines IL-35 and IL-27, which, like IL-10, can inhibit TH2 responses.","IL27 (Inhibit) T_CD4","false","Inhibit","IL27 (Inhibit) T_CD4","",""
"Type 1","Polarize","604: Exposure to IL-4, IL-5, IL-9, and IL-13 favors the development of TH2 cells, whereas exposure to IFN-<U+03B3> and IL-12 (and its relative IL-27) favors TH1-cell development.","IL27 (Polarize) T_CD4","false","Polarize","IL27 (Polarize) T_CD4","",""
"","Inhibit","813: Table Appendix III","IL37 (Inhibit) DC","false","Inhibit","IL37 (Inhibit) DC","",""
"","Inhibit","813: Table Appendix III","IL37 (Inhibit) Monocyte","false","Inhibit","IL37 (Inhibit) Monocyte","",""
"T independent B activation/IgA production, Class switching","Polarize","509: Once in the mucosa, TGF-ß-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-ß.","Retinoic acid (Polarize) B","false","Polarize","Retinoic acid (Polarize) B","",""
"Tolerance","Polarize","379: As will be discussed in more detail in Chapter 12, the differentiation of induced Treg cells in the intestines is favored by the presence of antigen-presenting cells that produce retinoic acid, which is derived from vitamin A. Retinoic acid produced by intestinal dendritic cells acts with TGF-ß to induce Treg differentiation while suppressing the differentiation of TH17 cells (see Fig. 9.33).; 379-380: The antagonistic balance of retinoic acid and IL-6 therefore controls the differentiation of induced Treg cells and TH17 cells, respectively, in the intestinal mucosa-associated lymphoid tissues (MALT).; 504: Retinoic acid-producing dendritic cells are also found in Peyer’s patches, and may also be important for generating regulatory T cells either in the Peyer’s patch itself, or after they migrate to the mesenteric lymph node.","Retinoic acid (Polarize) T_CD4","false","Polarize","Retinoic acid (Polarize) T_CD4","",""
"T independent B activation/IgA production, Class switching, Antibody production","Polarize","509: Once in the mucosa, TGF-ß-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-ß.; 385: Table Figure 9.4; 506: Class switching of activated B cells to IgA is controlled by the cytokine TGF-ß.; 418: Transforming growth factor (TGF)-ß induces switching to IgG2b (C<U+03B3>2b) and IgA (Ca).; 813: Table Appendix III","TGFb (Polarize) B","false","Polarize","TGFb (Polarize) B","","TGFbR"
"","Activate","616: Table Figure 14.10","TGFb (Activate) Eosinophil","false","Activate","TGFb (Activate) Eosinophil","",""
"Hematopoiesis","Polarize","617: For example, TGF-ß in the presence of IL-3 suppresses eosinophil differentiation and enhances that of basophils.","TGFb (Polarize) Hematopoietic","false","Polarize","TGFb (Polarize) Hematopoietic","",""
